name_ko	name_en	type	country
곤드레나물밥	Gondeurenamulbap	밥	KO
굴국밥	Gulgukbap	밥	KO
굴밥	Gulbap	밥	KO
김밥	Gimbap	밥	KO
김치김밥	Kimchigimbap	밥	KO
김치볶음밥	Kimchibokkeumbap	밥	KO
낙지덮밥	Nakjideopbap	밥	KO
누룽지	Nurungji	밥	KO
대나무통밥	Daenamutongbap	밥	KO
돌솥비빔밥	Dolsotbibimbap	밥	KO
돼지국밥	Dwaejigukbap	밥	KO
따로국밥	Ttarogukbap	밥	KO
멍게비빔밥	Meonggebibimbap	밥	KO
메밀감자비빔밥	Memilgamjabibimbap	밥	KO
묵밥	Mukbap	밥	KO
밥	Bap	밥	KO
보리밥	Boribap	밥	KO
불고기덮밥	Bulgogideopbap	밥	KO
비빔밥	Bibimbap	밥	KO
산채비빔밥	Sanchaebibimbap	밥	KO
삼선비빔밥	Samseonbibimbap	밥	KO
새싹비빔밥	Saessakbibimbap	밥	KO
샐러드김밥	Salad Gimbap	밥	KO
소고기국밥	Sogogigukbap	밥	KO
소고기김밥	Sogogigimbap	밥	KO
소머리국밥	Someorigukbap	밥	KO
송어덮밥	Songeodeopbap	밥	KO
순대국밥	Sundaegukbap	밥	KO
쌈밥	Ssambap	밥	KO
알밥	Albap	밥	KO
양푼비빔밥	Yangpunbibimbap	밥	KO
연잎밥	Yeonnipbap	밥	KO
열무비빔밥	Yeolmubibimbap	밥	KO
영양돌솥밥	Yeongyangdolsotbap	밥	KO
오곡밥	Ogokbap	밥	KO
오분작돌솥밥	Obunjakdolsotbap	밥	KO
오징어덮밥	Ojingeodeopbap	밥	KO
우거지사골국밥	Ugeojisagolgukbap	밥	KO
우렁된장비빔밥	Ureongdoenjangbibimbap	밥	KO
우렁쌈밥	Ureongssambap	밥	KO
육회돌솥비빔밥	Yukhoedolsotbibimbap	밥	KO
육회비빔밥	Yukhoebibimbap	밥	KO
잡곡밥	Japgokbap	밥	KO
잡채덮밥	Japchaedeopbap	밥	KO
장국밥	Janggukbap	밥	KO
장어덮밥	Jangeodeopbap	밥	KO
전복돌솥밥	Jeonbokdolsotbap	밥	KO
전주비빔밥	Jeonjubibimbap	밥	KO
제육덮밥	Jeyukdeopbap	밥	KO
제육비빔밥	Jeyukbibimbap	밥	KO
제육쌈밥	Jeyukssambap	밥	KO
주먹밥	Jumeokbap	밥	KO
진주비빔밥	Jinjubibimbap	밥	KO
참치김밥	Chamchigimbap	밥	KO
충무김밥	Chungmugimbap	밥	KO
치즈김밥	Cheese Gimbap	밥	KO
콩나물국밥	Kongnamulgukbap	밥	KO
콩나물밥	Kongnamulbap	밥	KO
헛제삿밥	Heotjesatbap	밥	KO
황태구이덮밥	Hwangtaeguideopbap	밥	KO
회덮밥	Hoedeopbap	밥	KO
게게살죽	Gesaljuk	죽	KO
녹두죽	Nokdujuk	죽	KO
바지락죽	Bajirakjuk	죽	KO
백합죽	Baekhapjuk	죽	KO
버섯옥수수죽	Beoseotoksusujuk	죽	KO
버섯죽	Beoseotjuk	죽	KO
삼계죽	Samgyejuk	죽	KO
소고기버섯죽	Sogogibeoseotjuk	죽	KO
어죽	Eojuk	죽	KO
잣죽	Jatjuk	죽	KO
전복내장죽	Jeonboknaejangjuk	죽	KO
전복죽	Jeonbokjuk	죽	KO
참치죽	Chamchijuk	죽	KO
채소죽	Chaesojuk	죽	KO
팥죽	Patjuk	죽	KO
해물죽	Haemuljuk	죽	KO
호박죽	Hobakjuk	죽	KO
흑임자죽	Heugimjajuk	죽	KO
감자수제비	Gamjasujebi	면	KO
감자옹심이	Gamjaongsimi	면	KO
검정콩국수	Geomjeongkongguksu	면	KO
고기국수	Gogiguksu	면	KO
곰국시	Gomguksi	면	KO
김치말이국수	Kimchimariguksu	면	KO
냉메밀국수	Naengmemilguksu	면	KO
느른국	Neureunguk	면	KO
닭칼국수	Dakkalguksu	면	KO
동치미물냉면	Dongchimimullaengmyeon	면	KO
들깨수제비	Deulkkaesujebi	면	KO
들깨칼국수	Deulkkaekalguksu	면	KO
떡국	Tteokguk	면	KO
막국수	Makguksu	면	KO
매생이굴칼국수	Maesaengigulkalguksu	면	KO
물냉면	Mullaengmyeon	면	KO
바지락칼국수	Bajirakkalguksu	면	KO
비빔국수	Bibimguksu	면	KO
비빔냉면	Bibimnaengmyeon	면	KO
수제비	Sujebi	면	KO
안동국시	Andongguksi	면	KO
어탕국수	Eotangguksu	면	KO
얼큰수제비	Eolkeunsujebi	면	KO
얼큰칼국수	Eolkeunkalguksu	면	KO
열무국수	Yeolmuguksu	면	KO
열무냉면	Yeolmunaengmyeon	면	KO
열무비빔국수	Yulmubibimguksu	면	KO
온면	Onmyeon	면	KO
잔치국수	Janchiguksu	면	KO
쟁반국수	Jaengbanguksu	면	KO
진주냉면	Jinjunaengmyeon	면	KO
쫄면	Jjolmyeon	면	KO
초계국수	Chogyeguksu	면	KO
칡냉면	Chingnaengmyeon	면	KO
칼국수	Kalguksu	면	KO
코다리냉면	Kodarionaengmyeon	면	KO
콧등치기국수	Kotdeungchigiguksu	면	KO
콩국수	Kongguksu	면	KO
팥칼국수	Patkalguksu	면	KO
평양냉면	Pyeongyangnaengmyeon	면	KO
함흥냉면	Hamheungnaengmyeon	면	KO
항아리수제비	Hangarisujebi	면	KO
해물수제비	Haemulsujebi	면	KO
해물칼국수	Haemulkalguksu	면	KO
황태비빔막국수	Hwangtaebibimmakguksu	면	KO
황태칼국수	Hwangtaekalguksu	면	KO
회냉면	Hoenaengmyeon	면	KO
곰칫국	Gomchitguk	국	KO
근댓국	Geundaetguk	국	KO
김치콩나물국	Kimchikongnamulguk	국	KO
김칫국	Kimchitguk	국	KO
냉이된장국	Naengidoenjangguk	국	KO
달걀국	Dalgyalguk	국	KO
닭개장	Dakgaejang	국	KO
도다리쑥국	Dodarissukguk	국	KO
도토리묵사발	Dotorimuksabal	국	KO
된장국	Doenjangguk	국	KO
두부새우젓국	Dubusaeujeotguk	국	KO
매생잇국	Maesaengitguk	국	KO
매생이굴국	Maesaengigulguk	국	KO
무된장국	Mudoenjangguk	국	KO
미역국	Miyeokguk	국	KO
미역냉국	Miyeongnaengguk	국	KO
바지락조갯국	Bajirakjogaeguk	국	KO
배추된장국	Baechudoenjangguk	국	KO
버섯육개장	Beoseotyukgaejang	국	KO
복국	Bokguk	국	KO
북엇국	Bugeotguk	국	KO
사골우거지해장국	Sagolugeojihaejangguk	국	KO
선짓국	Seonjitguk	국	KO
섭국	Seopguk	국	KO
소고기뭇국	Sogogimutguk	국	KO
소고기미역국	Sogogimiyeokguk	국	KO
소고기육개장	Sogogiyukgaejang	국	KO
순댓국	Sundaetguk	국	KO
시금치된장국	Sigeumchidoenjangguk	국	KO
시래기된장국	Siraegidoenjangguk	국	KO
쑥된장국	Ssukdoenjangguk	국	KO
아욱국	Aukguk	국	KO
어묵국	Eomukguk	국	KO
오이냉국	Oinaengguk	국	KO
오징엇국	Ojingeotguk	국	KO
올갱잇국	Olgaengitguk	국	KO
우거지된장국	Ugeojidoenjangguk	국	KO
우거지해장국	Ugeojihaejangguk	국	KO
우렁된장국	Ureongdoenjangguk	국	KO
육개장	Yukgaejang	국	KO
재첩국	Jaecheopguk	국	KO
초당순두부	Chodangsundubu	국	KO
콩나물국	Kongnamulguk	국	KO
콩나물해장국	Kongnamulhaejangguk	국	KO
토란국	Toranguk	국	KO
해장국	Haejangguk	국	KO
홍합미역국	Honghammiyeokguk	국	KO
황태해장국	Hwangtaehaejangguk	국	KO
갈낙탕	Gallaktang	탕	KO
갈비탕	Galbitang	탕	KO
감자탕	Gamjatang	탕	KO
곰탕	Gomtang	탕	KO
광어매운탕	Gwangeomaeuntang	탕	KO
굴탕	Gultang	탕	KO
꼬리곰탕	Kkorigomtang	탕	KO
꽃게탕	Kkotgetang	탕	KO
내장탕	Naejangtang	탕	KO
닭곰탕	Dakgomtang	탕	KO
대구맑은탕	Daegumalgeuntang	탕	KO
대구매운탕	Daegumaeuntang	탕	KO
대합탕	Daehaptang	탕	KO
도가니탕	Doganitang	탕	KO
도미맑은탕	Domimalgeuntang	탕	KO
도미매운탕	Domimaeuntang	탕	KO
동태탕	Dongtaetang	탕	KO
뚜거리탕	Ttugeoritang	탕	KO
뚝배기불고기	Ttukbaegibulgogi	탕	KO
롤삼계탕	Roll Samgyetang	탕	KO
매운탕	Maeuntang	탕	KO
메기매운탕	Megimaeuntang	탕	KO
민어탕	Mineotang	탕	KO
버섯들깨탕	Beoseotdeulkkaetang	탕	KO
복맑은탕	Bokmalgeuntang	탕	KO
복매운탕	Bokmaeuntang	탕	KO
사골우거지갈비탕	Sagulugeojitang	탕	KO
삼계탕	Samgyetang	탕	KO
생태탕	Saengtaetang	탕	KO
설렁탕	Seolleongtang	탕	KO
쏘가리매운탕	Ssogarimaeuntang	탕	KO
아귀탕	Agwitang	탕	KO
알탕	Altang	탕	KO
양곰탕	Yanggomtang	탕	KO
연포탕	Yeonpotang	탕	KO
영양한우갈비탕	Yeongyanghanugalbitang	탕	KO
왕갈비탕	Wanggalbitang	탕	KO
우거지갈비탕	Ugeojigalbitang	탕	KO
우럭매운탕	Ureokmaeuntang	탕	KO
우족탕	Ujoktang	탕	KO
장어탕	Jangeotang	탕	KO
전복삼계탕	Jeonboksamgyetang	탕	KO
조개탕	Jogaetang	탕	KO
조기매운탕	Jogimaeuntang	탕	KO
참게매운탕	Chamgemaeuntang	탕	KO
초계탕	Chogyetang	탕	KO
추어탕	Chueotang	탕	KO
콩비지탕	Kongbijitang	탕	KO
콩탕	Kongtang	탕	KO
해물탕	Haemultang	탕	KO
홍어탕	Hongeotang	탕	KO
홍합탕	Honghaptang	탕	KO
갈치찌개	Galchijjigae	찌개	KO
강된장	Gangdoenjang	찌개	KO
고추장찌개	Gochujangjjigae	찌개	KO
김치찌개	Kimchijjigae	찌개	KO
꽁치김치찌개	Kkongchikimchijjigae	찌개	KO
도루묵찌개	Dorumukjjigae	찌개	KO
동태찌개	Dongtaejjigae	찌개	KO
돼지고기김치찌개	Dwaejigogikimchijjigae	찌개	KO
된장찌개	Doenjangjjigae	찌개	KO
부대찌개	Budaejjigae	찌개	KO
생태찌개	Saengtaejjigae	찌개	KO
순두부찌개	Sundubujjigae	찌개	KO
시래기된장지짐	Siraegidoenjangjijim	찌개	KO
애호박찌개	Aehobakjjigae	찌개	KO
양푼김치찌개	Yangpunkimchijjigae	찌개	KO
전복뚝배기	Jeonbokttukbaegi	찌개	KO
차돌된장찌개	Chadoldoenjangjjigae	찌개	KO
참치김치찌개	Chamchikimchijjigae	찌개	KO
청국장찌개	Cheonggukjangjjigae	찌개	KO
콩비지찌개	Kongbijijjigae	찌개	KO
해물뚝배기	Haemulttukbaegi	찌개	KO
해물된장찌개	Haemuldoenjangjjigae	찌개	KO
해물순두부찌개	Haemulsundubujjigae	찌개	KO
갈비찜	Galbijjim	찜	KO
계란찜	Gyeranjjim	찜	KO
굴보쌈	Gulbossam	찜	KO
꼬리찜	Kkorijjim	찜	KO
낙지찜	Nakjijjim	찜	KO
누룽지닭백숙	Nurungjidakbaeksuk	찜	KO
닭백숙	Dakbaeksuk	찜	KO
대게찜	Daegejjim	찜	KO
대구뽈찜	Daeguppoljjim	찜	KO
더덕보쌈	Deodeokbossam	찜	KO
도가니수육	Doganisuyuk	찜	KO
도미찜	Domijjim	찜	KO
동태찜	Dongtaejjim	찜	KO
돼지등뼈찜	Dwaejideungppyeojjim	찜	KO
등갈비묵은지찜	Deunggalbimugeunjijjim	찜	KO
뚝배기계란찜	Ttukbaegigyeranjjim	찜	KO
매운갈비찜	Maeungalbijjim	찜	KO
머릿고기	Meoritgogi	찜	KO
명태찜	Myeongtaejjim	찜	KO
묵은지찜	Mugeunjijjim	찜	KO
민어찜	Mineojjim	찜	KO
병어찜	Byeongeojjim	찜	KO
보쌈	Bossam	찜	KO
북어찜	Bugeojjim	찜	KO
소갈비찜	Sogalbijjim	찜	KO
소꼬리찜	Sokkorijjim	찜	KO
소머리수육	Someorisuyuk	찜	KO
수육	Suyuk	찜	KO
순대	Sundae	찜	KO
아귀찜	Agwijjim	찜	KO
아바이순대	Abaisundae	찜	KO
안동찜닭	Andongjjimdak	찜	KO
오리백숙	Oribaeksuk	찜	KO
오이선	Oiseon	찜	KO
오징어순대	Ojingeosundae	찜	KO
전복갈비찜	Jeonbokgalbijjim	찜	KO
조기찜	Jogijjim	찜	KO
족발	Jokbal	찜	KO
찜닭	Jjimdak	찜	KO
참꼬막찜	Chamkkomakjjim	찜	KO
코다리찜	Kodarijjim	찜	KO
한방오리백숙	Hanbangoribaeksuk	찜	KO
한방오리찜	Hanbangorijjim	찜	KO
해물찜	Haemuljjim	찜	KO
홍어삼합	Hongeosamhap	찜	KO
홍어찜	Hongeojjim	찜	KO
황기닭백숙	Hwanggidakbaeksuk	찜	KO
황기족발	Hwanggijokbal	찜	KO
황태찜	Hwangtaejjim	찜	KO
훈제오리보쌈	Hunjeoribossam	찜	KO
가지볶음	Gajibokkeum	볶음	KO
감자볶음	Gamjabokkeum	볶음	KO
고구마맛탕	Gogumamattang	볶음	KO
곰장어볶음	Gomjangeobokkeum	볶음	KO
곱창볶음	Gopchangbokkeum	볶음	KO
국물떡볶이	Gungmultteokbokki	볶음	KO
궁중떡볶이	Gungjungtteokbokki	볶음	KO
김치볶음	Kimchibokkeum	볶음	KO
깻잎나물볶음	Kkaennipnamulbokkeum	볶음	KO
꽈리고추멸치볶음	Kkwarigochumyeolchibokkeum	볶음	KO
낙지볶음	Nakjibokkeum	볶음	KO
낙지철판볶음	Nakjicheolpanbokkeum	볶음	KO
느타리버섯볶음	Neutaribeoseotbokkeum	볶음	KO
닭갈비	Dakgalbi	볶음	KO
닭강정	Dakgangjeong	볶음	KO
닭똥집볶음	Dakttongjipbokkeum	볶음	KO
닭볶음탕	Dakbokkeumtang	볶음	KO
도치두루치기	Dochiduruchigi	볶음	KO
돼지고기두루치기	Dwaejigogiduruchigi	볶음	KO
돼지고기볶음	Dwaejigogibokkeum	볶음	KO
돼지껍데기볶음	Dwaejikkeopdegibokkeum	볶음	KO
두부김치	Dubukimchi	볶음	KO
떡볶이	Tteokbokki	볶음	KO
라볶이	Rabokki	볶음	KO
마른새우볶음	Mareunsaeubokkeum	볶음	KO
매운닭발볶음	Maeundakbalbokkeum	볶음	KO
머위나물볶음	Meowinamulbokkeum	볶음	KO
물오징어불고기	Murojingeobulgogi	볶음	KO
미역줄기볶음	Mioyeokjulgibokkeum	볶음	KO
순대볶음	Sundaebokkeum	볶음	KO
애호박볶음	Aehobakbokkeum	볶음	KO
양념치킨	Yangnyeom Chicken	볶음	KO
어묵볶음	Eomukbokkeum	볶음	KO
오리주물럭	Orijumulleok	볶음	KO
오삼불고기	Osambulgogi	볶음	KO
오징어볶음	Ojingeobokkeum	볶음	KO
오징어채볶음	Ojingeochaebokkeu	볶음	KO
잔멸치볶음	Janmyeolchibokkeum	볶음	KO
제육볶음	Jeyukbokkeum	볶음	KO
주꾸미볶음	Jukkumibokkeum	볶음	KO
죽순볶음	Juksunbokkeum	볶음	KO
쥐치채볶음	Jwichichaebokkeum	볶음	KO
